S/N,X (km),Y (km),Rock type,Land use,Cd (ppm),Cu (ppm),Pb (ppm),Co (ppm),Cr (ppm),Ni (ppm),Zn (ppm),,Rock type,
54,3.903,2.565,2,1,0.51,5.96,62.4,1.65,3.32,1.98,60.4,,,
55,1.603,1.981,2,4,0.705,16.04,38.24,13.04,29.84,17.92,70.4,,,
56,3.395,5.21,3,3,1.112,13.12,25.56,9.8,36.56,19.48,65.6,,,
57,2.564,1.409,1,4,1.31,117.6,152.8,8.44,41.6,20.4,145.2,,,
58,0.912,2.132,2,2,2.2,11.88,51.6,10.48,60.4,30.8,78.4,,,
59,3.093,3.828,3,3,0.45,11.5,30.92,7.96,23.2,9.36,43.2,,,
60,0.836,1.787,3,3,0.825,12.96,50,14.32,40.8,22.84,80.4,,,
61,2.758,0.643,2,1,1.245,13.08,88,8.08,39.56,18.64,86.8,,,
62,3.017,3.482,2,2,1.09,8.8,26.32,12.8,38.72,18.8,59.2,,,
63,3.212,2.716,3,3,0.78,29.8,60.4,12.52,35.52,24,75.6,,,
64,4.022,1.453,2,2,1.95,22.6,52,10.6,47,36.72,100,,,
65,4.054,3.256,2,3,1.31,21.16,52.8,8.92,35.04,20.08,78.8,,,
66,2.521,2.867,2,2,1.585,11.4,39.36,13.2,42,33.12,75.64,,,
67,3.319,4.864,1,2,0.52,6.04,21.12,5.08,32.68,15.4,37.52,,,
68,2.823,4.249,1,1,1.005,7.08,35.4,5.36,18.12,8.2,51.6,,,
69,1.722,0.869,1,3,0.57,21.36,67.2,4.08,24.88,9.68,56.8,,,
70,2.251,3.288,5,3,0.33,5.72,18.68,4.92,14.92,4.68,26.8,,,
71,1.182,1.711,3,2,2.535,8.72,55.6,12.56,70,26.24,71.6,,,
72,1.83,3.018,3,3,2.685,32.68,69.32,10.12,43.52,27.88,111.76,,,
73,3.752,1.874,2,2,0.69,20.8,55.6,13.6,37.6,28.4,80.4,,,
74,2.218,1.485,1,2,0.375,19.36,45.2,12.04,34.08,16.36,70,,,
75,1.873,1.56,3,3,1.955,26.08,60.4,9.68,37.88,20.88,110.8,,,
76,3.6,1.183,2,3,1.985,22.72,49.72,10,34.2,27.4,89.88,,,
77,2.887,4.889,1,1,1.325,5.4,37.52,3.74,27.64,14.44,46.4,,,
78,1.527,1.636,3,3,0.795,12,84.8,7.92,27.4,13.2,78.8,,,
79,1.333,2.407,2,3,1.63,20.56,46,13.4,43.6,37.52,98.4,,,
80,2.413,0.718,3,3,0.677,11.92,38.16,12.48,34.52,23.92,69.2,,,
81,1.948,1.906,3,3,1.298,22.24,45.6,12,49.6,26.04,96.4,,,
82,1.754,2.672,2,3,1.53,16.24,43.6,10.36,46.4,29.8,77.2,,,
83,2.294,1.83,2,2,0.67,8.72,32.76,9.72,46.8,23.24,81.6,,,
84,2.639,1.755,3,1,1.01,5.96,67.36,9.96,28.68,17.44,52.48,,,
85,1.905,3.363,1,3,0.5,16.68,39.76,4.8,23.12,9.36,46.4,,,
86,2.175,2.942,3,2,1.665,37,43.8,14.8,40.28,30.08,87.84,,,
87,2.791,2.446,2,3,1.52,16.32,57.52,9.16,36.2,24.12,84.4,,,
88,2.866,2.791,2,3,1.315,14,45.96,11.2,30.92,24.32,79.08,,,
89,3.407,1.953,2,2,1.325,9.92,38.4,9.12,37.32,24.6,84.08,,,
90,3.946,1.107,2,2,0.495,7.52,33,8.28,33,20.6,48.8,,,
91,2.452,3.995,1,3,0.395,12.72,28.24,3.56,24,5.6,39.64,,,
92,2.747,3.903,1,2,0.38,3.55,21.12,5.44,25.52,11.4,25,,,
93,3.287,3.061,5,3,2.085,39,52.4,13.2,45.92,26.4,104,,,
94,4.367,1.377,5,3,2.61,24,47.2,20.6,37.2,29.4,86.4,,,
95,4.713,1.302,2,3,0.845,10.28,33.64,9.68,29.92,23.8,65.6,,,
96,4.248,2.489,4,1,1.22,5.52,48.8,5.24,27.04,21.04,46.4,,,
97,3.784,3.677,2,1,0.64,6.68,34.32,13.92,28.32,18,55.2,,,
98,4.324,2.835,2,1,1.65,8.88,60,8.72,33.36,22.72,80,,,
99,3.859,4.022,3,3,1.433,43.6,60.8,13.32,47.6,29.12,87.2,,,
100,2.593,3.312,3,3,0.325,8.08,26.2,10.6,30,14,54.96,,,
